"日历名称","日程名称","开始时间","结束时间","日程描述","地点"
"日历","建7个站方案框架确定","2025-04-23 19:00","2025-04-23 20:00","",""
"日历","杭州回郑州","2025-06-20 08:00","2025-06-20 09:00","",""
"日历","组织架构规划第二版","2025-07-17 20:00","2025-07-17 21:00","",""
"日历","骑电动车去黄河","2025-01-12 09:00","2025-01-12 10:00","",""
"日历","返程，下午，晚上小板凳","2025-04-05 22:00","2025-04-05 23:00","",""
"日历","出差返程郑州","2025-07-12 09:00","2025-07-12 10:00","",""
"日历","夏季回老家","2025-07-05 09:00","2025-07-05 10:00","",""
"日历","杭州季度会","2025-04-15 18:00","2025-04-15 20:00","",""
"日历","返工上班","2025-02-05 09:00","2025-02-05 10:00","",""
"日历","下雨环湖","2025-08-10 09:00","2025-08-10 10:00","",""
"日历","重庆：高管半年度工作述职","2025-08-09 00:00","2025-08-09 23:59","",""
"日历","老家，大宝三妞老大","2025-04-04 22:00","2025-04-04 23:00","",""
"日历","二年级上散学典礼","2025-01-20 09:00","2025-01-20 10:00","",""
"日历","李文霞深圳出差","2025-07-16 09:00","2025-07-16 10:00","",""
"日历","老板美国返程","2025-07-05 09:00","2025-07-05 10:00","",""
"日历","华山公寓217","2025-04-29 07:55","2025-04-29 08:00","",""
"日历","cto张晓杰来郑州与高管交流","2025-05-07 20:00","2025-05-07 21:00","",""
"日历","汝南一日游","2025-05-01 20:00","2025-05-01 21:00","","宿鸭湖大桥"
"日历","淑颖返岗","2025-06-05 08:00","2025-06-05 09:00","",""
"日历","三妞大宝二宝丰乐农庄","2025-06-08 20:00","2025-06-08 21:00","",""
"日历","黄河谷温泉","2025-06-07 20:00","2025-06-07 21:00","",""
"日历","Jason分享会：越过山丘","2025-01-09 09:00","2025-01-09 10:00","",""
"日历","z-de德语站上线","2025-06-24 09:00","2025-06-24 10:00","",""
"日历","公众号第一篇","2025-05-13 08:00","2025-05-13 09:00","",""
"日历","晚上和老板雪姣吃饭","2025-07-24 18:00","2025-07-24 19:00","",""
"日历","郑州cto见面会-阿里p9-袁岳峰","2025-03-24 20:00","2025-03-24 21:00","",""
"日历","重庆火锅","2025-08-09 09:00","2025-08-09 10:00","",""
"日历","晚上十点出发五指山","2025-07-25 09:00","2025-07-25 10:00","",""
"日历","李文霞出差返程","2025-07-17 09:00","2025-07-17 10:00","",""
"日历","洛阳：小郭&书范","2025-08-23 09:00","2025-08-23 10:00","",""
"日历","拉萨瑞吉酒店","2025-08-15 09:00","2025-08-15 10:00","",""
"日历","afterpay通道异常","2025-04-22 10:00","2025-04-22 11:00","",""
"日历","二年级下学期期末考试","2025-06-23 09:00","2025-06-23 10:00","",""
"日历","拉萨：高管半年度工作述职","2025-08-16 00:00","2025-08-16 23:59","",""
"日历","丹阳年会","2025-01-20 09:00","2025-01-20 10:00","",""
"日历","人生机会选择题：退股","2025-06-04 08:00","2025-06-04 10:00","",""
"日历","老板到郑州","2025-05-07 19:00","2025-05-07 20:00","",""
"日历","老板去美国","2025-06-17 09:00","2025-06-17 10:00","",""
"日历","携号转网","2025-05-10 09:00","2025-05-10 10:00","",""
"日历","cto张晓杰与团队交流","2025-05-08 20:00","2025-05-08 21:00","",""
"日历","杭州出差：组织架构","2025-08-27 09:00","2025-08-27 10:00","",""
"日历","风险：vooglam墨西哥信用卡盗刷","2025-05-28 09:00","2025-05-28 10:00","",""
"日历","浪浪山小妖怪观影","2025-08-17 16:00","2025-08-17 17:00","",""
"日历","返程郑州","2025-05-02 20:00","2025-05-02 21:00","",""
"日历","老妈回老家","2025-06-14 05:00","2025-06-14 06:00","",""
"日历","桔子水晶酒店","2025-04-16 08:00","2025-04-16 09:00","","全纳儿童能力训练中心(上城校区)"
"日历","下班后去南王村吃炒鸡","2025-07-29 09:00","2025-07-29 10:00","",""
"日历","杭州团队团建","2025-07-12 09:00","2025-07-12 10:00","",""
"日历","林芝保利雅途酒店","2025-08-10 09:00","2025-08-10 10:00","",""
"日历","老板与我云端沟通","2025-06-03 18:00","2025-06-03 19:00","",""
"日历","哪吒4s店四万大保养","2025-07-06 09:00","2025-07-06 10:00","",""
"日历","外部岗位评估培训","2025-06-05 09:00","2025-06-05 10:00","",""
"日历","收到录取通知书","2025-06-19 08:00","2025-06-19 09:00","",""
"日历","老妈返郑来家","2025-08-19 09:00","2025-08-19 10:00","",""
"日历","林芝保利雅途酒店","2025-08-11 09:00","2025-08-11 10:00","",""
"日历","年终奖发放","2025-03-18 09:00","2025-03-18 10:00","",""
"日历","vooglam web站点被攻击","2025-01-08 09:00","2025-01-08 10:00","",""
"日历","向前提离职","2025-05-29 09:00","2025-05-29 10:00","",""
"日历","裸心会第二场","2025-08-14 09:00","2025-08-14 10:00","",""
"日历","游戏团建","2025-08-13 21:00","2025-08-13 22:00","",""
"日历","老板来郑","2025-07-21 09:00","2025-07-21 10:00","",""
"日历","小拉出行：三妞&二宝","2025-08-23 09:00","2025-08-23 10:00","",""
"日历","老板返郑","2025-06-03 09:00","2025-06-03 10:00","",""
"日历","万山蹲，上街","2025-05-31 10:00","2025-05-31 11:00","",""
"日历","海氏岗位评估法","2025-05-21 09:00","2025-05-21 10:00","",""
"日历","老家返程郑州","2025-07-06 09:00","2025-07-06 10:00","",""
"日历","下午请假去二手车谈判","2025-07-25 09:00","2025-07-25 10:00","",""
"日历","河北衡水追星","2025-07-19 09:00","2025-07-19 10:00","",""
"日历","二年级下期末家长会","2025-06-28 09:00","2025-06-28 10:00","",""
"日历","裸心会第一场","2025-08-12 20:00","2025-08-12 21:00","",""
"日历","上城埭村采茶","2025-04-17 12:00","2025-04-17 13:00","","龙坞茶树餐厅"
"日历","老家装空调","2025-04-28 10:00","2025-04-28 11:00","",""
"日历","未来产业申请","2025-05-22 09:00","2025-05-22 10:00","",""
"日历","年度分红","2025-01-24 09:00","2025-01-24 10:00","",""
"日历","半年度汇报","2025-08-11 09:00","2025-08-11 10:00","",""
"日历","开封电动车上牌","2025-07-04 15:00","2025-07-04 16:00","",""
"日历","黄河谷温泉酒店","2025-06-01 08:00","2025-06-01 09:00","",""
"日历","组织架构规划第三版","2025-07-22 20:00","2025-07-22 21:00","",""
"日历","大风，家里蹲","2025-04-12 22:00","2025-04-12 23:00","",""
"日历","关税升级","2025-04-09 22:00","2025-04-09 23:00","理论亏损",""
"日历","伏羲山鸡山三峰","2025-04-19 12:00","2025-04-19 13:00","",""
"日历","入夏：太阳炙烤","2025-05-12 12:00","2025-05-12 13:00","",""
"日历","汽车到万亩桃园露营","2025-07-27 09:00","2025-07-27 10:00","",""
"日历","高铁返郑","2025-04-18 22:00","2025-04-18 23:00","",""
"日历","下午请假回老家","2025-04-30 07:00","2025-04-30 08:00","",""
"日历","货拉拉社会实践课","2025-08-17 09:00","2025-08-17 10:00","",""
"日历","贾鲁河烧烤","2025-05-05 20:00","2025-05-05 21:00","",""
"日历","和老板摊牌","2025-05-20 20:00","2025-05-20 21:00","",""
"日历","二年级上家长会","2025-01-19 09:00","2025-01-19 10:00","",""
"日历","zeelool新站竞聘","2025-06-04 09:00","2025-06-04 10:00","",""
"日历","杭州出差返程","2025-08-29 09:00","2025-08-29 10:00","",""
"日历","老妈三妞来家","2025-06-06 20:00","2025-06-06 21:00","",""
"日历","母亲四妞来家","2025-05-17 08:00","2025-05-17 09:00","",""
"日历","去吉客印聊架构师","2025-07-24 17:00","2025-07-24 18:00","",""
"日历","三年级开学","2025-09-01 09:00","2025-09-01 10:00","",""
"日历","办理护照、港澳通行证和签注","2025-01-05 09:00","2025-01-05 10:00","",""
"日历","大宝来家里","2025-01-10 09:00","2025-01-10 10:00","",""
"日历","闲鱼开启","2025-05-11 09:00","2025-05-11 10:00","",""
"日历","海昌海洋公园","2025-05-31 08:00","2025-05-31 09:00","",""
"日历","经理级述职","2025-07-16 14:00","2025-07-16 15:00","",""
"日历","张梦长预定的会议","2025-02-01 13:20","2025-02-01 14:20","张梦长 邀请您参加腾讯会议",""
"日历","自由行：登封、汝州、汝阳","2025-05-24 09:00","2025-05-24 10:00","",""
"日历","洛阳龙凤山&温泉","2025-08-23 09:00","2025-08-23 10:00","",""
"日历","年度启动会","2025-02-28 09:00","2025-02-28 10:00","",""
"日历","陆浑水库迷雾森林","2025-08-02 00:00","2025-08-02 23:59","",""
"日历","春节放假","2025-01-25 09:00","2025-01-25 10:00","",""
"日历","买比亚迪汽车","2025-05-27 08:00","2025-05-27 09:00","",""
"日历","36岁生日","2025-04-05 20:00","2025-04-05 21:00","",""
"日历","新建日程","2025-02-25 00:00","2025-03-01 23:59","",""
"日历","林芝保利雅途酒店","2025-08-12 09:00","2025-08-12 10:00","",""
"日历","万岁山一日游","2025-05-03 20:00","2025-05-03 21:00","","万岁山武侠城"
"日历","儿子发烧生病","2025-08-04 23:00","2025-08-05 00:00","",""
"日历","出差杭州","2025-05-21 16:00","2025-05-21 20:00","",""
"日历","杭州出差见cto张骁杰","2025-04-25 09:00","2025-04-25 10:00","",""
"日历","调剂复试","2025-04-08 22:00","2025-04-08 23:00","",""
"日历","出发栾川","2025-08-01 00:00","2025-08-01 23:59","",""
"日历","杭州小分队聚餐","2025-05-22 18:00","2025-05-22 19:00","",""
"日历","购车：零跑C10二手","2025-06-29 16:00","2025-06-29 17:00","",""
"日历","拉萨瑞吉酒店","2025-08-14 09:00","2025-08-14 10:00","",""
"日历","雨，家里蹲","2025-10-12 00:00","2025-10-12 23:59","",""
"日历","下班后出发，夜宿渑池服务区","2025-09-26 22:00","2025-09-26 23:00","",""
"日历","茫崖，315国道","2025-09-29 00:00","2025-09-29 23:59","",""
"日历","库尔勒普惠农场二分场五队","2025-09-30 00:00","2025-09-30 23:59","",""
"日历","镜湖穿越","2025-10-02 00:00","2025-10-02 23:59","",""
"日历","返程郑州","2025-10-16 00:00","2025-10-16 23:59","",""
"日历","出差杭州，z年度目标讨论","2025-10-13 00:00","2025-10-13 23:59","",""
"日历","德令哈","2025-09-28 00:00","2025-09-28 23:59","",""
"日历","兰州市，中山桥","2025-09-27 22:00","2025-09-27 23:00","",""
"日历","农场到市里","2025-10-01 00:00","2025-10-01 23:59","",""
"日历","云台山滑翔伞加民宿","2025-10-18 20:00","2025-10-18 21:00","","薄壁镇"
"日历","回老家","2025-10-24 00:00","2025-10-24 23:59","",""
"日历","老家蹲，雨","2025-10-25 00:00","2025-10-25 23:59","",""
"日历","老板来郑州，v 战略规划","2025-10-20 22:00","2025-10-20 23:00","",""
"日历","杭州战略会三场","2025-11-10 00:00","2025-11-10 23:59","",""
"日历","z 战略规划","2025-10-15 00:00","2025-10-15 23:59","",""
"日历","2026 vooglam战略规划会","2025-10-22 09:00","2025-10-22 10:00","",""
"日历","返程郑州","2025-10-26 00:00","2025-10-26 23:59","",""
"日历","回老家","2025-12-26 09:00","2025-12-26 10:00","",""
"日历","老家蹲","2025-12-27 09:00","2025-12-27 10:00","",""
"日历","驻马店回郑州","2025-12-28 09:00","2025-12-28 10:00","老家返程，周日，节前的最后一个周末，天气不错，温度较高，夜晚满天繁星。",""
"日历","思念果岭泡温泉","2025-12-20 09:00","2025-12-20 10:00","大宝，四妞，三妞，老二，张利",""
"日历","见小飞哥","2025-12-21 09:00","2025-12-21 10:00","送四妞回家",""
"日历","下雪了","2025-12-12 09:00","2025-12-12 10:00","下午请假，接儿子，看雪玩雪",""
"日历","思念果岭泡温泉","2025-12-13 09:00","2025-12-13 10:00","三人家中",""
"日历","去丹阳","2025-12-14 09:00","2025-12-14 10:00","下午三点，高铁",""
"日历","返程郑州","2025-12-18 09:00","2025-12-18 10:00","九点多，一点多到公司，我、王伟、真真",""
"日历","丹阳香逸大酒店","2025-12-16 09:00","2025-12-16 10:00","",""
"日历","丹阳香逸大酒店","2025-12-17 09:00","2025-12-17 10:00","",""
"日历","网一值班","2025-12-01 09:00","2025-12-01 10:00","",""
"日历","黑五值班","2025-11-28 09:00","2025-11-28 10:00","老板、王涛、超哥、帅鹏，海底楼",""
"日历","开心岛","2025-11-29 09:00","2025-11-29 10:00","晚上大宝三妞来家，看电影，荒野机器人",""
"日历","思念果岭农家乐","2025-11-16 09:00","2025-11-16 10:00","和爸妈一起",""
"日历","三妞生日，小板凳火锅","2025-11-17 09:00","2025-11-17 10:00","",""
"日历","上街运东西","2025-11-15 09:00","2025-11-15 10:00","",""
"日历","出发杭州","2025-11-09 09:00","2025-11-09 10:00","",""
"日历","伏羲山挖玉","2025-11-08 09:00","2025-11-08 10:00","张雪，农家乐，挖玉，鸡山三峰，老大，三妞，二宝，大宝。",""
"日历","返程郑州","2025-11-14 09:00","2025-11-14 10:00","",""
"日历","产品总监入职","2025-09-17 09:00","2025-09-17 10:00","",""
"日历","出差杭州","2025-09-16 09:00","2025-09-16 10:00","",""
"日历","返程郑州","2025-09-19 09:00","2025-09-19 10:00","",""
"日历","彬彬代理期述职","2025-12-30 09:00","2025-12-30 10:00","彬彬，雪娇，张晓，陈见，均雯",""
